word,pinyin,freq
无论如何,wu lun ru he2,4.39
不好意思,bu ha4o yi si,4.21
文章经济,wen zha2ng jing ji,4.14
不可思议,bu ke4 si yi,4.12
前所未有,qia2n suo wei you,4.03
实事求是,shi shi qiu2 shi,4.02
理所当然,li suo da3ng ran,4.01
无能为力,wu ne2ng wei li,3.98
胡说八道,hu shuo ba2 dao,3.97
一模一样,yi mo yi ya1ng,3.96
成千上万,cheng qia2n shang wan,3.95
众所周知,zho4ng suo zhou zhi,3.93
显而易见,xia3n er yi jian,3.91
不知不觉,bu zhi bu jue4,3.91
难以置信,na2n yi zhi xin,3.88
独一无二,du yi wu e2r,3.88
不知所以,bu zhi suo4 yi,3.87
所作所为,suo3 zuo suo wei,3.81
与众不同,yu zho3ng bu tong,3.78
如此而已,ru ci e2r yi,3.78
好好先生,ha3o hao xian sheng,3.77
自我表现,zi wo bia4o xian,3.77
乱七八糟,lua4n qi ba zao,3.76
全心全意,qua2n xin quan yi,3.76
独立自主,du li2 zi zhu,3.76
一无所有,yi wu suo1 you,3.75
一无所知,yi wu suo1 zhi,3.74
引人注目,yin re3n zhu mu,3.74
自然而然,zi ra4n er ran,3.74
为所欲为,wei suo2 yu wei,3.73
莫名其妙,mo ming qi mia4o,3.73
道德文章,da4o de wen zhang,3.73
千方百计,qia1n fang bai ji,3.71
黄金世界,hua2ng jin shi jie,3.71
黄金时间,hua2ng jin shi jian,3.7
公平交易,gong ping jia1o yi,3.7
意想不到,yi xia4ng bu dao,3.68
截然不同,jie ra2n bu tong,3.68
花花公子,hua1 hua gong zi,3.68
自以为是,zi yi we4i shi,3.67
无关紧要,wu gua2n jin yao,3.67
迫不及待,po bu ji da4i,3.67
总而言之,zong er ya3n zhi,3.66
天下一家,tia1n xia yi jia,3.66
各式各样,ge shi ge ya4ng,3.66
无家可归,wu jia2 ke gui,3.65
史无前例,shi wu qia3n li,3.65
微不足道,wei bu zu da1o,3.65
随心所欲,sui xin suo2 yu,3.64
脱颖而出,tuo1 ying er chu,3.64
手无寸铁,sho3u wu cun tie,3.63
息息相关,xi xi xia1ng guan,3.62
一如既往,yi ru ji wa1ng,3.62
视而不见,shi er bu jia4n,3.61
突然袭击,tu ra1n xi ji,3.6
和而不同,he er bu to2ng,3.6
表面文章,bia3o mian wen zhang,3.6
小心翼翼,xia3o xin yi yi,3.6
取而代之,qu e da3i zhi,3.59
市民文学,shi min we4n xue,3.59
十字路口,shi zi lu ko2u,3.59
一举一动,yi ju yi do1ng,3.59
当务之急,da1ng wu zhi ji,3.59
大有作为,da4 you zuo wei,3.58
相提并论,xia1ng ti bing lun,3.57
独立王国,du li wa2ng guo,3.56
下落不明,xia4 luo bu ming,3.56
不知所措,bu zhi suo4 cuo,3.55
可想而知,ke xia3ng er zhi,3.55
层出不穷,ceng chu bu qio2ng,3.55
谢天谢地,xie tia4n xie di,3.55
公平合理,go1ng ping he li,3.54
诸如此类,zhu ru ci le1i,3.54
没完没了,mei wa2n mei liao,3.54
有所作为,yo3u suo zuo wei,3.54
革命反正,ge ming fa2n zheng,3.53
逍遥法外,xia1o yao fa wai,3.53
挺身而出,ting she3n er chu,3.53
大惊小怪,da4 jing xiao guai,3.53
一年一度,yi nia1n yi du,3.53
名列前茅,ming lie qia2n mao,3.52
轻而易举,qing e1r yi ju,3.52
原来如此,yua2n lai ru ci,3.52
肆无忌惮,si wu ji da4n,3.52
根深蒂固,ge1n shen di gu,3.52
不切实际,bu qie4 shi ji,3.51
无济于事,wu ji2 yu shi,3.51
自我牺牲,zi wo4 xi sheng,3.51
马上房子,ma3 shang fang zi,3.51
不得不尔,bu de4 bu er,3.5
全力以赴,qua2n li yi fu,3.5
讨价还价,ta3o jia huan jia,3.5
不顾一切,bu gu yi qie4,3.49
大人先生,da4 ren xian sheng,3.49
大吃一惊,da4 chi yi jing,3.49
罪魁祸首,zui kui huo4 shou,3.49
供不应求,go1ng bu ying qiu,3.49
突如其来,tu ru qi la1i,3.48
举足轻重,ju zu qing zho3ng,3.48
不可教训,bu ke jia4o xun,3.48
从头到尾,cong tou da2o wei,3.48
无动于衷,wu do2ng yu zhong,3.48
大有人在,da4 you ren zai,3.48
想方设法,xia3ng fang she fa,3.47
不遗余力,bu yi4 yu li,3.47
错综复杂,cuo zong fu za4,3.47
自言自语,zi ya4n zi yu,3.47
天下第一,tia1n xia di yi,3.47
轰轰烈烈,ho1ng hong lie lie,3.47
有朝一日,you zha3o yi ri,3.47
经济之才,jing ji zhi ca1i,3.46
至高无上,zhi ga4o wu shang,3.45
日许多时,ri xu duo4 shi,3.45
归根结底,gui ge1n jie di,3.44
无法无天,wu fa2 wu tian,3.44
无缘无故,wu yua2n wu gu,3.44
习以为常,xi yi wei cha2ng,3.44
坚定不移,jia1n ding bu yi,3.44
出乎意料,chu hu yi lia1o,3.44
不以为然,bu yi wei ra4n,3.44
当之无愧,da1ng zhi wu kui,3.44
便宜从事,bia2n yu cong shi,3.43
无与伦比,wu yu lun bi2,3.43
一席之地,yi1 xi zhi di,3.43
三位一体,sa1n wei yi ti,3.43
小时了了,xia3o shi liao liao,3.43
别有用心,bie yo2u yong xin,3.43
不择手段,bu ze shou dua4n,3.43
光天化日,gua1ng tian hua ri,3.43
果然如此,guo ra3n ru ci,3.43
毛骨悚然,ma2o gu song ran,3.43
拨乱反正,bo lua1n fan zheng,3.43
随时随地,sui2 shi sui di,3.43
新陈代谢,xin chen da1i xie,3.42
一塌糊涂,yi ta1 hu tu,3.42
心甘情愿,xin ga1n qing yuan,3.42
无所事事,wu suo2 shi shi,3.42
自始至终,zi shi zhi zho4ng,3.41
胡思乱想,hu si lua2n xiang,3.41
出人意料,chu ren yi lia1o,3.41
自给自足,zi4 ji zi zu,3.41
呼吸之间,hu xi zhi jia1n,3.41
深思熟虑,she1n si shu lv,3.41
东西南北,dong xi na1n bei,3.4
彼此彼此,bi3 ci bi ci,3.4
一成不变,yi cheng bu bia1n,3.4
脚踏实地,jia3o ta shi di,3.39
情不自禁,qi2ng bu zi jin,3.39
游戏人间,you xi ren jia2n,3.39
理直气壮,li zhi qi zhua3ng,3.39
十年读书,shi nia2n du shu,3.39
袖手旁观,xiu shou pa4ng guan,3.39
一帆风顺,yi fa1n feng shun,3.39
梦寐以求,me4ng mei yi qiu,3.38
百年之后,ba3i nian zhi hou,3.38
竭尽全力,jie jin qua2n li,3.37
何去何从,he qu he co2ng,3.37
日复一日,ri4 fu yi ri,3.37
一清二楚,yi qing e1r chu,3.37
聪明智慧,co1ng ming zhi hui,3.37
胡言乱语,hu ya2n luan yu,3.37
似曾相识,si ceng xia4ng shi,3.37
名副其实,mi2ng fu qi shi,3.37
混为一谈,hun wei yi ta4n,3.36
坚持不懈,jia1n chi bu xie,3.36
四面八方,si mia4n ba fang,3.36
日新月异,ri xin yue4 yi,3.36
支离破碎,zhi li po1 sui,3.36
因地制宜,yi1n di zhi yi,3.36
束手无策,shu sho4u wu ce,3.36
一视同仁,yi shi to1ng ren,3.36
忍无可忍,re3n wu ke ren,3.35
应有尽有,ying yo1u jin you,3.35
轻描淡写,qing mia1o dan xie,3.35
来龙去脉,la2i long qu mai,3.35
心中无数,xin zho1ng wu shu,3.35
自力更生,zi li ge4ng sheng,3.35
不由自主,bu yo4u zi zhu,3.34
直接了当,zhi jie lia2o dang,3.34
推波助澜,tui bo zhu la1n,3.34
事不过三,shi bu guo sa4n,3.34
一目了然,yi mu lia1o ran,3.34
阿弥陀佛,e mi tuo1 fo,3.34
大错特错,da4 cuo te cuo,3.34
货真价实,huo zhen jia4 shi,3.34
丰富多彩,feng fu duo ca1i,3.33
自欺欺人,zi qi qi re4n,3.33
摇摇欲坠,ya2o yao yu zhui,3.33
幸灾乐祸,xing za4i le huo,3.33
恶性循环,e xing xun hua4n,3.33
犹豫不决,yo2u yu bu jue,3.32
一生一代,yi sheng yi da1i,3.32
接二连三,jie er lia1n san,3.32
有生之年,you sheng zhi nia3n,3.32
可见一斑,ke jia3n yi ban,3.32
字里行间,zi li ha4ng jian,3.32
家喻户晓,jia1 yu hu xiao,3.32
一个半个,yi ge ba1n ge,3.32
针锋相对,zhen feng xia1ng dui,3.32
形形色色,xing xing se2 se,3.32
黄金时代,hua2ng jin shi dai,3.32
自相矛盾,zi xia4ng mao dun,3.31
兴高采烈,xing ga4o cai lie,3.31
平安无事,ping a2n wu shi,3.31
久而久之,jiu e3r jiu zhi,3.31
无忧无虑,wu yo2u wu lv,3.31
出于意外,chu yu yi wa1i,3.31
一见钟情,yi jia1n zhong qing,3.31
措手不及,cuo4 shou bu ji,3.3
背道而驰,bei da4o er chi,3.3
无时无刻,wu shi wu ke2,3.3
读书种子,du shu zho2ng zi,3.3
长治久安,cha2ng zhi jiu an,3.3
不得而知,bu de4 er zhi,3.3
大张旗鼓,da4 zhang qi gu,3.3
先发制人,xia1n fa zhi ren,3.29
发号施令,fa1 hao shi ling,3.29
命中注定,ming zho4ng zhu ding,3.29
焕然一新,hua4n ran yi xin,3.29
恍然大悟,hua3ng ran da wu,3.29
安然无恙,a1n ran wu yang,3.29
脱口而出,tuo1 kou er chu,3.29
刻不容缓,ke bu rong hua4n,3.29
从天而降,cong tia2n er jiang,3.29
念念不忘,nia4n nian bu wang,3.29
绳之以法,sheng zhi yi fa2,3.28
一定不易,yi1 ding bu yi,3.28
走投无路,zo3u tou wu lu,3.28
一事无成,yi shi wu che1ng,3.28
喜闻乐见,xi wen le jia3n,3.28
一针见血,yi zhen jia1n xie,3.28
齐心协力,qi xin xie2 li,3.28
翻天覆地,fa1n tian fu di,3.28
无可厚非,wu ke ho2u fei,3.28
自由自在,zi you zi za4i,3.28
漠不关心,mo bu gua4n xin,3.28
匪夷所思,fei yi suo3 si,3.27
打击报复,da3 ji bao fu,3.27
卷土重来,jua3n tu chong lai,3.27
置之不理,zhi4 zhi bu li,3.27
若无其事,ruo4 wu qi shi,3.27
大相径庭,da4 xiang jing ting,3.27
得天独厚,de tia2n du hou,3.27
天堂地狱,tia1n tang di yu,3.27
一心一意,yi1 xin yi yi,3.27
口口声声,ko3u kou sheng sheng,3.27
恰到好处,qia4 dao hao chu,3.27
屡见不鲜,lv jia3n bu xian,3.27
迫在眉睫,po za4i mei jie,3.27
不知头脑,bu zhi tou na4o,3.27
无中生有,wu zho2ng sheng you,3.27
心满意足,xin ma1n yi zu,3.27
旗帜鲜明,qi zhi xia2n ming,3.26
饮食男女,yin shi na3n nv,3.26
聪明智能,co1ng ming zhi neng,3.26
不言而喻,bu ya4n er yu,3.26
蛛丝马迹,zhu si ma1 ji,3.26
不了了之,bu lia4o liao zhi,3.26
一无是处,yi1 wu shi chu,3.26
高才大学,ga1o cai da xue,3.26
不管不顾,bu gua4n bu gu,3.26
装模作样,zhua1ng mo zuo yang,3.26
如火如荼,ru huo2 ru tu,3.25
无可奈何,wu ke na2i he,3.25
合情合理,he2 qing he li,3.25
突飞猛进,tu fe1i meng jin,3.25
忧心忡忡,yo1u xin chong chong,3.25
淋漓尽致,li2n li jin zhi,3.25
大开眼界,da4 kai yan jie,3.25
忘恩负义,wa4ng en fu yi,3.24
与日俱增,yu ri ju ze3ng,3.24
一触即发,yi chu ji fa1,3.24
力所能及,li suo4 neng ji,3.24
以身作则,yi shen zuo3 ze,3.24
直言不讳,zhi ya2n bu hui,3.24
说来说去,shuo la1i shuo qu,3.24
破口大骂,po kou da4 ma,3.24
应运而生,ying yun e4r sheng,3.24
风云人物,fe1ng yun ren wu,3.24
大街小巷,da4 jie xiao xiang,3.24
轩然大波,xua1n ran da bo,3.24
持之以恒,chi zhi yi he2ng,3.24
无足轻重,wu zu qing zho2ng,3.24
无计可施,wu ji ke2 shi,3.23
一厢情愿,yi xia1ng qing yuan,3.23
与世隔绝,yu shi ge3 jue,3.23
发扬光大,fa1 yang guang da,3.23
满不在乎,ma3n bu zai hu,3.23
适得其反,shi de qi fa4n,3.23
成年古代,cheng nia2n gu dai,3.23
耿耿于怀,geng geng yu hua3i,3.23
一路平安,yi lu ping a1n,3.23
不堪一击,bu ka4n yi ji,3.23
勇往直前,yong wa3ng zhi qian,3.22
行尸走肉,xing shi zo2u rou,3.22
五颜六色,wu ya3n liu se,3.22
感同身受,ga3n tong shen shou,3.22
白色恐怖,ba2i se kong bu,3.22
不得人心,bu de4 ren xin,3.22
骇人听闻,ha4i ren ting wen,3.22
一本正经,yi be1n zheng jing,3.22
热血沸腾,re4 xue fei teng,3.22
比比皆是,bi bi jie3 shi,3.22
自相残杀,zi xia4ng can sha,3.22
分道扬镳,fen da1o yang biao,3.22
来之不易,la2i zhi bu yi,3.21
拭目以待,shi mu yi da4i,3.21
引人入胜,yin re3n ru sheng,3.21
直截了当,zhi jie lia2o dang,3.21
不折不扣,bu zhe bu ko4u,3.21
不闻不问,bu we4n bu wen,3.21
沸沸扬扬,fei fei ya4ng yang,3.21
千言万语,qia1n yan wan yu,3.21
不合时宜,bu he4 shi yi,3.21
源源不断,yua2n yuan bu duan,3.21
百花齐放,ba3i hua qi fang,3.21
后顾之忧,ho4u gu zhi you,3.21
绝无仅有,jue wu jin yo2u,3.21
雪上加霜,xue sha3ng jia shuang,3.2
有利可图,yo3u li ke tu,3.2
大声疾呼,da4 sheng ji hu,3.2
惨不忍睹,ca3n bu ren du,3.2
屈指可数,qu zhi ke1 shu,3.2
人间天堂,ren jia2n tian tang,3.2
一干二净,yi ga1n er jing,3.2
不了不当,bu lia4o bu dang,3.2
土生土长,tu sheng tu zha3ng,3.2
不可收拾,bu ke sho4u shi,3.2
高高在上,ga1o gao zai shang,3.2
无所畏惧,wu suo2 wei ju,3.2
一应俱全,yi ying ju qua1n,3.2
默默无闻,mo4 mo wu wen,3.2
安居乐业,a1n ju le ye,3.2
训练有素,xun lia4n you su,3.2
首当其冲,shou da3ng qi chong,3.19
格格不入,ge2 ge bu ru,3.19
烟消云散,ya1n xiao yun san,3.19
艰苦奋斗,jia1n ku fen dou,3.19
始终不易,shi zho3ng bu yi,3.19
一丝不挂,yi si bu gua1,3.19
耳目一新,e3r mu yi xin,3.19
循序渐进,xun xu jia2n jin,3.19
包罗万象,ba1o luo wan xiang,3.19
无稽之谈,wu ji zhi ta2n,3.19
与时消息,yu shi xia3o xi,3.19
五花八门,wu hua3 ba men,3.18
大有文章,da4 you wen zhang,3.18
一点一滴,yi dia1n yi di,3.18
深入人心,she1n ru ren xin,3.18
不屈不挠,bu qu bu na4o,3.18
提心吊胆,ti xin dia2o dan,3.18
数一数二,shu yi shu e3r,3.18
重蹈覆辙,chong da2o fu zhe,3.18
相辅相成,xia1ng fu xiang cheng,3.17
顺理成章,shun li cheng zha4ng,3.17
一网打尽,yi wa1ng da jin,3.17
深恶痛绝,shen wu to1ng jue,3.17
人才难得,ren ca2i cai de,3.17
议论纷纷,yi lun fe4n fen,3.17
万无一失,wa4n wu yi shi,3.17
自生自灭,zi she4ng zi mie,3.17
摇身一变,ya2o shen yi bian,3.17
千千万万,qia1n qian wan wan,3.17
意料之外,yi lia4o zhi wai,3.17
风起云涌,feng qi yun yo1ng,3.17
百年好事,ba3i nian hao shi,3.17
一分为二,yi fe1n wei er,3.16
四分五裂,si fe4n wu lie,3.16
来回来去,la2i hui lai qu,3.16
甜言蜜语,tia2n yan mi yu,3.16
铺天盖地,pu tia1n gai di,3.16
进退两难,jin tui lia3ng nan,3.16
迎刃而解,ying re2n er jie,3.16
见义勇为,jia4n yi yong wei,3.16
出自意外,chu zi yi wa1i,3.16
人事不知,re2n shi bu zhi,3.16
心不在焉,xin bu za1i yan,3.16
人间地狱,ren jia2n di yu,3.16
偷偷摸摸,to1u tou mo mo,3.16
出卖灵魂,chu ma1i ling hun,3.15
明白了当,ming ba2i liao dang,3.15
义无反顾,yi wu fa4n gu,3.15
所剩无几,suo3 sheng wu ji,3.15
再接再厉,za4i jie zai li,3.15
弄虚作假,nong xu zuo jia4,3.15
高楼大厦,ga1o lou da sha,3.15
连锁反应,lia2n suo fan ying,3.15
明目张胆,ming mu zha2ng dan,3.15
如出一辙,ru chu yi zhe2,3.15
不计其数,bu ji4 qi shu,3.15
倾家荡产,qing jia1 dang chan,3.15
一脉相承,yi ma1i xiang cheng,3.15
水深火热,shui shen huo3 re,3.15
融为一体,ro2ng wei yi ti,3.15
无所不能,wu suo2 bu neng,3.15
你死我活,ni si wo3 huo,3.14
乌合之众,wu he zhi zho1ng,3.14
一劳永逸,yi la1o yong yi,3.14
改头换面,ga3i tou huan mian,3.14
马到成功,ma3 dao cheng gong,3.14
崭露头角,zha3n lu tou jiao,3.14
绰绰有余,chuo4 chuo you yu,3.14
惊心动魄,jing xing do1ng po,3.14
百家争鸣,ba3i jia zheng ming,3.14
中流砥柱,zho1ng liu di zhu,3.14
大做文章,da4 zuo wen zhang,3.14
势在必行,shi za4i bi xing,3.14
如愿以偿,ru yua2n yi chang,3.14
得寸进尺,de2 cun jin chi,3.14
众说纷纭,zho4ng shuo fen yun,3.14
锦上添花,jin sha3ng tian hua,3.14
光明正大,gua1ng ming zheng da,3.14
有目共睹,yo3u mu gong du,3.13
迫不得已,po4 bu de yi,3.13
便宜施行,bia2n yu shi xing,3.13
赤手空拳,chi shou kong qua4n,3.13
停滞不前,ting zhi bu qia2n,3.13
无声无息,wu she2ng wu xi,3.13
天涯海角,tia1n ya hai jiao,3.13
终身大事,zhong shen da1 shi,3.13
哑口无言,ya3 kou wu yan,3.13
彻头彻尾,che to4u che wei,3.12
无穷无尽,wu qio2ng wu jin,3.12
国泰民安,guo ta2i min an,3.12
微乎其微,we1i hu qi wei,3.12
愤世嫉俗,fe4n shi ji su,3.12
起死回生,qi si hui she3ng,3.12
名过其实,ming guo2 qi shi,3.12
大兴土木,da4 xing tu mu,3.12
触目惊心,chu mu ji4ng xin,3.12
销声匿迹,xia1o sheng ni ji,3.12
身体力行,she1n ti li xing,3.12
难能可贵,na2n neng ke gui,3.12
日日夜夜,ri ri ye4 ye,3.12
瞠目结舌,che1ng mu jie she,3.12
首屈一指,sho3u qu yi zhi,3.12
臭名昭著,chou ming zha4o zhu,3.12
卓有成效,zhuo you cheng xia2o,3.12
不顾前后,bu gu qia4n hou,3.12
人山人海,ren sha2n ren hai,3.11
惊慌失措,jing hua1ng shi cuo,3.11
无所作为,wu suo2 zuo wei,3.11
天衣无缝,tia1n yi wu feng,3.11
司空见惯,si kong jia1n guan,3.11
不断如带,bu dua4n ru dai,3.11
不约而同,bu yue er to4ng,3.11
自食其力,zi4 shi qi li,3.11
出其不意,chu qi1 bu yi,3.11
全神贯注,qua2n shen guan zhu,3.11
令人作呕,ling ren zuo4 ou,3.11
长途跋涉,cha2ng tu ba she,3.11
见死不救,jia4n si bu jiu,3.1
大同小异,da4 tong xiao yi,3.1
热泪盈眶,re lei ying kua4ng,3.1
独树一帜,du shu yi2 zhi,3.1
自觉自愿,zi jue zi yua4n,3.1
打破常规,da3 po chang gui,3.1
得心应手,de xin ying sho2u,3.1
我行我素,wo3 xing wo su,3.1
一般见识,yi ba1n jian shi,3.1
流离失所,liu li shi suo2,3.1
千辛万苦,qia1n xin wan ku,3.1
不可开交,bu ke ka4i jiao,3.1
一日三月,yi ri sa1n yue,3.1
争先恐后,zheng xia1n kong hou,3.1
一事不知,yi1 shi bu zhi,3.1
青梅竹马,qing mei zhu ma1,3.1
危机四伏,we1i ji si fu,3.1
家常便饭,jia1 chang bian fan,3.09
危在旦夕,wei za1i dan xi,3.09
绞尽脑汁,jia3o jin nao zhi,3.09
目瞪口呆,mu deng kou da4i,3.09
不了而了,bu lia4o er liao,3.09
人来人往,ren la2i ren wang,3.09
志同道合,zhi tong da4o he,3.09
虚张声势,xu zha1ng sheng shi,3.09
瞬息万变,shun xi wa4n bian,3.09
雨后春笋,yu ho3u chun sun,3.09
无所不在,wu suo bu za2i,3.09
记忆犹新,ji yi yo4u xin,3.09
任重道远,ren zhong da4o yuan,3.09
听其自然,ting qi zi ra1n,3.08
小心谨慎,xia3o xin jin shen,3.08
胡作非为,hu zuo2 fei wei,3.08
横冲直撞,heng chong zhi zhua2ng,3.08
轻举妄动,qing ju wa1ng dong,3.08
畅所欲言,cha4ng suo yu yan,3.08
不可告人,bu ke ga4o ren,3.08
意味深长,yi wei shen cha4ng,3.08
由来已久,you la2i yi jiu,3.08
气急败坏,qi ji ba4i huai,3.08
不寒而栗,bu ha4n er li,3.08
在所难免,za4i suo nan mian,3.08
栩栩如生,xu xu ru she3ng,3.08
时不再来,shi bu za2i lai,3.08
鼓舞人心,gu wu re3n xin,3.07
平起平坐,ping qi ping zuo2,3.07
以为后图,yi wei ho3u tu,3.07
前车之鉴,qia2n che zhi jian,3.07
同归于尽,to2ng gui yu jin,3.07
长篇大论,cha2ng pian da lun,3.07
罪大恶极,zui da4 e ji,3.07
代代相传,da4i dai xiang chuan,3.07
奋不顾身,fe4n bu gu shen,3.07
变本加厉,bia4n ben jia li,3.07
指日成功,zhi ri cheng go3ng,3.07
同心协力,to2ng xin xie li,3.07
叹为观止,ta4n wei guan zhi,3.07
势不可挡,shi bu ke da4ng,3.07
一臂之力,yi1 bi zhi li,3.07
冷嘲热讽,leng cha3o re feng,3.07
面目全非,mia4n mu quan fei,3.07
信以为真,xin yi we4i zhen,3.06
十全十美,shi qua2n shi mei,3.06
潜移默化,qia2n yi mo hua,3.06
年复一年,nia2n fu yi nian,3.06
疲惫不堪,pi bei bu ka2n,3.06
接踵而来,jie zhong er la1i,3.06
曾几何时,ce2ng ji he shi,3.06
家破人亡,jia1 po ren wang,3.06
络绎不绝,luo4 yi bu jue,3.06
一生一世,yi she1ng yi shi,3.06
灰飞烟灭,hui fei ya1n mie,3.06
精疲力竭,jing pi li jie1,3.06
千真万确,qia1n zhen wan que,3.06
澄清天下,cheng qing tia2n xia,3.06
以牙还牙,yi ya3 huan ya,3.06
危言耸听,wei ya1n song ting,3.06
心平气和,xin ping qi he1,3.06
深信不疑,she1n xin bu yi,3.06
一切万物,yi qie wa1n wu,3.06
因人而异,yin re1n er yi,3.06
一式一样,yi shi yi ya1ng,3.06
刮目相看,gua1 mu xiang kan,3.05
哭笑不得,ku xia1o bu de,3.05
遥遥领先,ya2o yao ling xian,3.05
两败俱伤,lia3ng bai ju shang,3.05
不可动摇,bu ke dong ya4o,3.05
玩忽职守,wa2n hu zhi shou,3.05
闻所未闻,wen suo2 wei wen,3.05
堆积如山,dui ji ru sha1n,3.05
半途而废,ba4n tu er fei,3.05
单枪匹马,da1n qiang pi ma,3.05
忍气吞声,re3n qi tun sheng,3.05
灵丹妙药,ling da2n miao yao,3.05
岌岌可危,ji ji ke2 wei,3.05
一口一声,yi ko1u yi sheng,3.05
指手画脚,zhi shou hua3 jiao,3.05
众目睽睽,zho4ng mu kui kui,3.05
家家户户,jia1 jia hu hu,3.05
花言巧语,hua1 yan qiao yu,3.05
天方夜谭,tia1n fang ye tan,3.05
不相上下,bu xia4ng shang xia,3.05
义不容辞,yi bu ro4ng ci,3.05
不屑一顾,bu xie4 yi gu,3.05
遍体鳞伤,bia4n ti lin shang,3.05
死亡无日,si wa3ng wu ri,3.05
乌烟瘴气,wu ya1n zhang qi,3.04
寸步难行,cun bu na4n xing,3.04
出于无奈,chu yu wu na1i,3.04
多才多艺,duo ca1i duo yi,3.04
人满为患,ren ma2n wei huan,3.04
开门见山,ka1i men jian shan,3.04
向上一路,xia4ng shang yi lu,3.04
哗众取宠,hua2 zhong qu chong,3.04
刻骨铭心,ke4 gu ming xin,3.04
津津乐道,jin jin le da1o,3.04
此起彼伏,ci3 qi bi fu,3.04
奄奄一息,ya3n yan yi xi,3.04
行之有效,xing zhi you xia2o,3.04
赏心悦目,sha3ng xin yue mu,3.04
博大精深,bo da2 jing shen,3.04
不怀好意,bu hua4i hao yi,3.04
欢欣鼓舞,hua1n xin gu wu,3.04
春暖花开,chun nua1n hua kai,3.04
如影随形,ru ying sui2 xing,3.04
不亦乐乎,bu yi le4 hu,3.04
后台老板,hou ta4i lao ban,3.04
大显身手,da4 xian shen shou,3.03
方兴未艾,fa1ng xing wei ai,3.03
就事论事,jiu4 shi lun shi,3.03
长生不老,cha2ng sheng bu lao,3.03
乐此不疲,le4 ci bu pi,3.03
滥用职权,la4n yong zhi quan,3.03
一般无二,yi ba1n wu er,3.03
国计民生,guo2 ji min sheng,3.03
每况愈下,mei kua3ng yu xia,3.03
明明白白,ming ming ba2i bai,3.03
大庭广众,da4 ting guang zhong,3.03
筋疲力尽,ji1n pi li jin,3.03
出类拔萃,chu lei ba1 cui,3.03
适可而止,shi ke4 er zhi,3.03
归根到底,gui gen da1o di,3.03
得不偿失,de bu cha2ng shi,3.03
欣欣向荣,xin xin xia1ng rong,3.03
孤注一掷,gu zhu yi1 zhi,3.02
再生父母,za4i sheng fu mu,3.02
苟延残喘,gou ya3n can chuan,3.02
成群结队,che2ng qun jie dui,3.02
咄咄逼人,duo1 duo bi ren,3.02
推陈出新,tui che1n chu xin,3.02
掉以轻心,dia4o yi qing xin,3.02
大势所趋,da4 shi suo qu,3.02
悬而未决,xua2n er wei jue,3.02
相依为命,xia1ng yi wei ming,3.02
流言蜚语,liu ya2n fei yu,3.02
现身说法,xia4n shen shuo fa,3.02
按兵不动,a4n bing bu dong,3.02
刻意经营,ke4 yi jing ying,3.02
事与愿违,shi yu yua4n wei,3.02
一言为定,yi ya1n wei ding,3.02
子虚乌有,zi xu wu yo3u,3.02
先入为主,xia1n ru wei zhu,3.01
倾盆大雨,qing pen da1 yu,3.01
强奸民意,qia2ng jian min yi,3.01
生死存亡,sheng si cun wa1ng,3.01
泪流满面,lei liu ma4n mian,3.01
罪有应得,zui yo4u ying de,3.01
不以为意,bu yi we4i yi,3.01
年事已高,nia2n shi yi gao,3.01
近在咫尺,jin za4i zhi chi,3.01
婆婆妈妈,po po ma2 ma,3.01
接连不断,jie lia1n bu duan,3.01
戒备森严,jie bei sen ya4n,3.01
疑似之间,yi si zhi jia2n,3.01
一败涂地,yi ba1i tu di,3.01
一意孤行,yi1 yi gu xing,3.01
东山再起,dong sha1n zai qi,3.01
麻木不仁,ma2 mu bu ren,3.01
既得利益,ji de4 li yi,3.01
恰如其分,qia4 ru qi fen,3.01
放心解体,fa4ng xin jie ti,3.0
无关大体,wu gua2n da ti,3.0
有意无意,yo3u yi wu yi,3.0
天下无敌,tia1n xia wu di,3.0
心安理得,xin a1n li de,3.0
便宜行事,bia4n yi xing shi,3.0
灭绝人性,mie4 jue ren xing,3.0
无拘无束,wu2 ju wu shu,3.0
千篇一律,qia1n pian yi lv,3.0
不堪设想,bu ka4n she xiang,3.0
空空如也,ko1ng kong ru ye,3.0
两手空空,lia3ng shou kong kong,3.0
天马行空,tia1n ma xing kong,3.0
无敌天下,wu di tia2n xia,3.0
艰苦创业,jia1n ku chuang ye,3.0
日不我与,ri bu wo4 yu,2.99
后悔不及,ho4u hui bu ji,2.99
不知高低,bu zhi ga4o di,2.98
江湖骗子,jia1ng hu pian zi,2.98
自由泛滥,zi you fa4n lan,2.97
何必当初,he bi da2ng chu,2.97
天地长久,tia1n di chang jiu,2.97
打死老虎,da3 si lao hu,2.97
稳步前进,wen bu qia2n jin,2.96
人间天上,ren jia2n tian shang,2.96
天上人间,tia1n shang ren jian,2.96
金刚眼睛,jin ga1ng yan jing,2.96
相机行事,xia1ng ji xing shi,2.95
动荡不安,dong da4ng bu an,2.95
小本经营,xia3o ben jing ying,2.95
不可多得,bu ke duo4 de,2.95
十二金牌,shi er jin pa2i,2.95
长安少年,cha2ng an shao nian,2.95
难以预料,na2n yi yu liao,2.94
分工合作,fen go1ng he zuo,2.94
震撼人心,zhen ha4n ren xin,2.93
为期不远,wei qi bu yua2n,2.93
未知万一,wei zhi wa4n yi,2.93
时不我与,shi bu wo2 yu,2.93
